second,Volt
-8.830400E-03,-2.010050297E+00
-8.822000E-03,-2.010050297E+00
-8.813600E-03,-2.010050297E+00
-8.805200E-03,-2.010050297E+00
-8.796800E-03,-2.010050297E+00
-8.788400E-03,-2.010050297E+00
-8.780000E-03,-2.010050297E+00
-8.771600E-03,-2.010050297E+00
-8.763200E-03,-2.010050297E+00
-8.754800E-03,-2.386934727E+00
-8.746400E-03,-2.010050297E+00
-8.738000E-03,-2.010050297E+00
-8.729600E-03,-2.010050297E+00
-8.721200E-03,-2.010050297E+00
-8.712800E-03,-2.010050297E+00
-8.704400E-03,-2.010050297E+00
-8.696000E-03,-2.010050297E+00
-8.687600E-03,-2.010050297E+00
-8.679200E-03,-2.010050297E+00
-8.670800E-03,-2.010050297E+00
-8.662400E-03,-2.010050297E+00
-8.654000E-03,-2.010050297E+00
-8.645600E-03,-2.010050297E+00
-8.637200E-03,-2.010050297E+00
-8.628800E-03,-3.517588019E+00
-8.620400E-03,-2.010050297E+00
-8.612000E-03,-2.010050297E+00
-8.603600E-03,-2.010050297E+00
-8.595200E-03,-2.010050297E+00
-8.586800E-03,-2.010050297E+00
-8.578400E-03,-2.010050297E+00
-8.570000E-03,-2.010050297E+00
-8.561600E-03,-2.010050297E+00
-8.553200E-03,-2.010050297E+00
-8.544800E-03,-2.010050297E+00
-8.536400E-03,-2.010050297E+00
-8.528000E-03,-2.010050297E+00
-8.519600E-03,-2.010050297E+00
-8.511200E-03,-2.010050297E+00
-8.502800E-03,-2.010050297E+00
-8.494400E-03,-2.010050297E+00
-8.486000E-03,-2.010050297E+00
